day,co,so2,no,no2,pm10,pm25,o3,wspd,wdir,temperature,press,rh,uv
2017-03-03,4.84,4.66,-56.89,20.22,25.61,0,11.08,1.32,105.65,21.99,906.92,82.12,167.14
2017-03-04,4.83,11.85,-5.9,19.35,0.9,0,8.35,1.27,122.26,22.8,907.2,79.42,171.16
2017-03-05,4.83,12.39,22.2,20.1,0,0,8.3,1.46,96.89,21.65,907.33,86.12,78.88
2017-03-06,5.12,11.74,17.57,20.84,0,0,8.41,1.36,115.53,21.87,907.43,84.81,77.18
2017-03-07,5.15,11.43,34.65,19.47,0,0,7.82,1.21,133.72,20.97,908.49,87.72,89.16
2017-03-08,4.8,11.75,29.77,25.45,0,0,8.52,1.48,100.58,22.33,908.82,80.53,122.83
2017-03-09,4.88,12.27,27.13,24.86,0,0,8.48,1.49,155.51,23.42,907.44,74.38,129.43
2017-03-10,5.06,12.54,26.08,25,0,0,8.32,1.15,118.47,22.4,908.22,81.8,105.06
2017-03-11,4.96,12.59,34.54,25.17,0,0,8.41,1.43,163.83,23.28,909.07,72.44,220.97
2017-03-12,4.88,12.3,44.16,17.84,0,0,7.28,1.54,183.96,23.25,909.88,71.05,197.37
2017-03-13,4.85,12.49,40.75,15.95,0,0,7.22,1.54,211.84,24.06,909.97,64.34,233.47
2017-03-14,4.95,12.57,39.55,18.4,0,0,7.22,1.06,187.8,23.8,910,69,141.62
2017-03-15,4.93,11.79,49.16,15.87,0,0,7.14,1.34,140.12,22.66,909.08,76.43,140.15
2017-03-16,4.65,11.91,45.82,22.25,0,0,7.53,0.97,118.22,22.7,908.14,79.72,89.21
2017-03-17,4.91,11.67,48.37,22.81,0,0,8.14,1.81,102.69,21.95,909.1,82.4,59.21
2017-03-24,0,8.01,0,0,48.74,0,10.26,0.89,254.12,23.79,899.84,79.98,21.39
2017-03-25,4.9,9.37,-75.27,22.41,48.44,0,9.87,1,161.59,23.81,909.43,80.2,154.96
2017-03-26,4.93,9.82,-52.77,20.35,36.89,0,9.23,1.19,123.41,22.68,910.37,80.27,120.26
2017-03-27,5.12,9.64,-51.23,23.3,30.82,0,9.92,1,134.07,23.16,910.12,78.8,198.69
2017-03-28,4.97,9.92,-42.9,19.42,26.13,0,8.99,1.36,134.85,22.97,910.28,78.58,216.22
2017-03-29,4.81,9.92,-34.32,18.82,23.53,0,8.77,1.27,132,23.27,910.22,77.55,189.82
2017-03-30,4.96,9.77,-34.45,22.81,26.16,0,9.46,1.2,140.54,23.24,910.41,78.35,164.2
