day,co,so2,no,no2,pm10,pm25,o3,wspd,wdir,temperature,press,rh,uv,station
2017-01-01,0,18.5,8.5,6.73,0,0,4.87,1.38,174.44,23.72,907.56,68.18,225.5,Dago
2017-01-02,0,18.16,7.78,6.6,0,0,4.87,1.69,283.26,24.14,907.25,69.48,191.15,Dago
2017-01-03,0,17.25,7.36,6.75,0,0,5.24,1.75,265.04,24.35,906.8,70.41,217.13,Dago
2017-01-04,0,16.16,7.56,7.12,0,0,2.95,0.8,138.39,22.5,906.32,83.25,51.07,Dago
2017-01-05,0,14.22,6.94,7.26,0,0,6.59,1.51,176.43,22.96,906.44,77.08,153.84,Dago
2017-01-06,0,5.77,4.2,5.92,12.83,0,7.83,1.54,286.49,24.19,906.12,75.06,52.83,Dago
2017-01-07,5.14,10.74,6.2,6.43,12.67,0,6.41,1.51,214.25,24.14,905.78,71.28,197.28,Dago
2017-01-08,4.82,11.59,6.56,6.15,12.68,0,7.76,1.59,244.21,23.46,905.57,68.57,182.4,Dago
2017-01-09,4.78,11.4,6.67,6.98,24.22,0,6.56,1.37,164.17,23.06,905.91,75.36,203.61,Dago
2017-01-10,4.84,10.58,6.61,6.64,18.99,0,6.04,1.32,108.91,22.56,907.64,79.21,101.04,Dago
2017-01-11,4.86,10.87,7.1,6.45,18.23,0,6.69,1.44,198.37,23.9,907.25,73.62,207.98,Dago
2017-01-12,4.9,10.9,7.48,5.63,12.08,0,4.65,1.6,265.24,23.64,906.85,74.32,164.23,Dago
2017-01-13,4.97,10.28,7.71,4.96,9.32,0,3.52,1.44,267.43,22.88,907.04,76.66,90.66,Dago
2017-01-14,4.89,9.59,7.69,4.99,8.69,0,4.61,1.96,287.32,22.21,907.97,77.34,126.17,Dago
2017-01-15,4.84,9.59,7.62,5.2,11.44,0,7.46,1.86,287.99,23.52,907.61,71.12,164.09,Dago
2017-01-16,4.8,9.57,8.58,5.16,10.53,0,3.94,1.46,256.33,21.7,907.89,82.1,99.86,Dago
2017-01-17,4.9,9.09,9.12,5.16,8.02,0,3.75,1.52,243.36,21.64,908.29,83.18,155.51,Dago
2017-01-18,4.58,8.65,9.72,5.3,11.5,0,4.3,1.51,204.95,22.89,909.36,75.97,184.28,Dago
2017-01-19,4.86,9.09,9.64,4.82,9.55,0,4.39,1.79,263,23.34,909,73.79,161.26,Dago
2017-01-20,4.71,9.67,11.01,5.39,9.99,0,5.02,1.88,257.12,23.48,908.58,72.59,197.36,Dago
2017-01-21,4.95,10.23,12.03,6.44,16.7,0,4.55,1.36,225.56,23.68,909.4,73.2,172.48,Dago
2017-01-22,4.89,9.73,12.24,6.83,18.15,0,6.75,1.44,187.04,23.33,909.49,76.81,150.78,Dago
2017-01-23,4.76,7.25,12.38,5.61,0,0,2.99,1.5,230.18,23.14,909.31,74.39,213.13,Dago
2017-01-24,5.11,7.87,13.9,5.56,0,0,3.22,1.72,198.58,22.88,909.22,75.37,202.69,Dago
2017-01-25,4.89,10.66,17.68,5.77,0,0,2.91,1.26,226.06,22.64,909.64,77.4,172.98,Dago
2017-01-26,4.69,10.57,18.14,6.05,0,0,4.82,1.73,230.91,22.16,909.49,71.31,148.65,Dago
2017-01-27,4.88,10.52,19.33,6.52,0,0,4.08,1.6,255.2,22.65,908.35,73.06,129.37,Dago
2017-01-28,5.01,10.53,20.92,5.64,0,0,1.89,1.54,271.86,21.99,908.06,81.58,146.53,Dago
2017-01-29,5.11,10.06,21.91,5.32,0,0,1.38,1.62,264.34,20.97,908.61,85.59,108.96,Dago
2017-01-30,5.21,8.91,21.29,5.08,0,0,1.58,1.61,256.71,22.26,908.1,77.05,181.52,Dago
2017-01-31,4.87,7.83,19.57,5.79,0,0,2.73,1.65,242.67,22.56,908.02,75.87,156.3,Dago
2017-02-01,4.92,7.45,19.44,5.71,0,0,3.13,1.57,263.27,21.77,908.87,80.03,140.73,Dago
2017-02-02,4.89,6.88,19.99,6.11,0,0,3.35,1.52,247.72,21.65,909.42,77.32,148.47,Dago
2017-02-03,4.83,4,15.21,5.13,0,0,3.09,1.88,264.77,21.74,908.28,76.51,164.31,Dago
2017-02-04,5.11,4.94,17.84,5.31,0,0,2.74,1.87,283.04,21.96,907.21,81.51,132.88,Dago
2017-02-05,4.75,6,20.47,5.68,0,0,3.96,2,284.71,23.2,906.71,71.55,213.17,Dago
2017-02-06,4.61,3.54,19.49,5.81,5.9,0,6.17,1.64,276.84,21.83,906.9,78.57,167.86,Dago
2017-02-07,4.89,9.28,34.02,6.31,10.96,0,12.31,2.2,241.82,22.06,906.89,72.92,178.85,Dago
2017-02-08,4.8,10.1,37.35,5.48,10.11,0,4.74,1.97,290.18,21.41,907.14,82.95,106.75,Dago
2017-02-09,4.88,9.57,39.08,5.16,10.48,0,3.56,2.08,283.17,20.93,906.93,82.79,144.9,Dago
2017-02-10,5.17,10.71,41.54,5.09,8.25,0,3.37,2.08,278.47,21.95,907.22,81.56,166.3,Dago
2017-02-11,5.36,9.91,40.39,6.61,13.58,0,4.29,1.49,254.26,21.47,908.87,85.12,121.33,Dago
2017-02-12,5.11,8.88,34.77,7.39,19.41,0,4.71,1.58,226.07,22.01,910.08,82.24,146.37,Dago
2017-02-13,4.92,8.83,35.43,7.41,20.86,0,4.84,1.53,263.44,22.72,910.56,79.7,184.01,Dago
2017-02-14,4.91,9.31,38.87,6.42,15.52,0,3.52,1.59,225.65,22.27,911.1,81.26,174.5,Dago
2017-02-15,4.68,9.31,72.2,16.65,11.07,0,3.16,1.57,284.03,21.38,910.92,85.3,73.52,Dago
2017-02-16,4.98,8.81,101.98,20.47,12.49,0,3.3,1.52,219.14,22.39,910.12,78.88,162.27,Dago
2017-02-17,4.65,8.67,103.44,23.44,23.71,0,3.73,1.07,186.98,23.4,910.12,75.8,213,Dago
2017-02-18,4.77,10.06,98.88,20.35,29.68,0,3.17,0.92,158.69,23.51,910.04,75.86,171.27,Dago
2017-02-24,0,5.2,0,0,18.27,0,6.95,1.21,101.24,22.47,901.24,84.12,39.16,Dago
2017-02-25,4.73,6.06,-81.67,25.28,28.51,0,11.35,0.91,156.79,22.01,909.17,87.3,81.9,Dago
2017-02-26,4.92,8.84,-54.38,23.39,24.51,0,11.07,1.27,112.98,22.26,907.49,83.49,143.28,Dago
2017-02-27,5.06,7.84,-27.53,27.04,25.87,0,13,1.29,139.94,23.93,907.55,76.6,192.19,Dago
2017-02-28,5.1,8.05,-20.37,23.63,24.03,0,10.47,1.25,96.56,21.72,908.09,85.37,98.53,Dago
2017-03-01,4.78,8.09,-15.22,21.32,22.33,0,9.55,1.17,87.56,21.81,908.1,85.56,97.26,Dago
2017-03-02,4.96,7.73,-17.58,22.04,29.69,0,9.28,1.22,102.72,22.06,907.83,83.39,151.13,Dago
2017-03-03,4.84,4.66,-56.89,20.22,25.61,0,11.08,1.32,105.65,21.99,906.92,82.12,167.14,Dago
2017-03-04,4.83,11.85,-5.9,19.35,0.9,0,8.35,1.27,122.26,22.8,907.2,79.42,171.16,Dago
2017-03-05,4.83,12.39,22.2,20.1,0,0,8.3,1.46,96.89,21.65,907.33,86.12,78.88,Dago
2017-03-06,5.12,11.74,17.57,20.84,0,0,8.41,1.36,115.53,21.87,907.43,84.81,77.18,Dago
2017-03-07,5.15,11.43,34.65,19.47,0,0,7.82,1.21,133.72,20.97,908.49,87.72,89.16,Dago
2017-03-08,4.8,11.75,29.77,25.45,0,0,8.52,1.48,100.58,22.33,908.82,80.53,122.83,Dago
2017-03-09,4.88,12.27,27.13,24.86,0,0,8.48,1.49,155.51,23.42,907.44,74.38,129.43,Dago
2017-03-10,5.06,12.54,26.08,25,0,0,8.32,1.15,118.47,22.4,908.22,81.8,105.06,Dago
2017-03-11,4.96,12.59,34.54,25.17,0,0,8.41,1.43,163.83,23.28,909.07,72.44,220.97,Dago
2017-03-12,4.88,12.3,44.16,17.84,0,0,7.28,1.54,183.96,23.25,909.88,71.05,197.37,Dago
2017-03-13,4.85,12.49,40.75,15.95,0,0,7.22,1.54,211.84,24.06,909.97,64.34,233.47,Dago
2017-03-14,4.95,12.57,39.55,18.4,0,0,7.22,1.06,187.8,23.8,910,69,141.62,Dago
2017-03-15,4.93,11.79,49.16,15.87,0,0,7.14,1.34,140.12,22.66,909.08,76.43,140.15,Dago
2017-03-16,4.65,11.91,45.82,22.25,0,0,7.53,0.97,118.22,22.7,908.14,79.72,89.21,Dago
2017-03-17,4.91,11.67,48.37,22.81,0,0,8.14,1.81,102.69,21.95,909.1,82.4,59.21,Dago
2017-03-24,0,8.01,0,0,48.74,0,10.26,0.89,254.12,23.79,899.84,79.98,21.39,Dago
2017-03-25,4.9,9.37,-75.27,22.41,48.44,0,9.87,1,161.59,23.81,909.43,80.2,154.96,Dago
2017-03-26,4.93,9.82,-52.77,20.35,36.89,0,9.23,1.19,123.41,22.68,910.37,80.27,120.26,Dago
2017-03-27,5.12,9.64,-51.23,23.3,30.82,0,9.92,1,134.07,23.16,910.12,78.8,198.69,Dago
2017-03-28,4.97,9.92,-42.9,19.42,26.13,0,8.99,1.36,134.85,22.97,910.28,78.58,216.22,Dago
2017-03-29,4.81,9.92,-34.32,18.82,23.53,0,8.77,1.27,132,23.27,910.22,77.55,189.82,Dago
2017-03-30,4.96,9.77,-34.45,22.81,26.16,0,9.46,1.2,140.54,23.24,910.41,78.35,164.2,Dago
2017-01-01,0,18.5,8.5,6.73,0,0,4.87,1.38,174.44,23.72,907.56,68.18,225.5,Gedebage
2017-01-02,0,18.16,7.78,6.6,0,0,4.87,1.69,283.26,24.14,907.25,69.48,191.15,Gedebage
2017-01-03,0,17.25,7.36,6.75,0,0,5.24,1.75,265.04,24.35,906.8,70.41,217.13,Gedebage
2017-01-04,0,16.16,7.56,7.12,0,0,2.95,0.8,138.39,22.5,906.32,83.25,51.07,Gedebage
2017-01-05,0,14.22,6.94,7.26,0,0,6.59,1.51,176.43,22.96,906.44,77.08,153.84,Gedebage
2017-01-06,0,5.77,4.2,5.92,12.83,0,7.83,1.54,286.49,24.19,906.12,75.06,52.83,Gedebage
2017-01-07,5.14,10.74,6.2,6.43,12.67,0,6.41,1.51,214.25,24.14,905.78,71.28,197.28,Gedebage
2017-01-08,4.82,11.59,6.56,6.15,12.68,0,7.76,1.59,244.21,23.46,905.57,68.57,182.4,Gedebage
2017-01-09,4.78,11.4,6.67,6.98,24.22,0,6.56,1.37,164.17,23.06,905.91,75.36,203.61,Gedebage
2017-01-10,4.84,10.58,6.61,6.64,18.99,0,6.04,1.32,108.91,22.56,907.64,79.21,101.04,Gedebage
2017-01-11,4.86,10.87,7.1,6.45,18.23,0,6.69,1.44,198.37,23.9,907.25,73.62,207.98,Gedebage
2017-01-12,4.9,10.9,7.48,5.63,12.08,0,4.65,1.6,265.24,23.64,906.85,74.32,164.23,Gedebage
2017-01-13,4.97,10.28,7.71,4.96,9.32,0,3.52,1.44,267.43,22.88,907.04,76.66,90.66,Gedebage
2017-01-14,4.89,9.59,7.69,4.99,8.69,0,4.61,1.96,287.32,22.21,907.97,77.34,126.17,Gedebage
2017-01-15,4.84,9.59,7.62,5.2,11.44,0,7.46,1.86,287.99,23.52,907.61,71.12,164.09,Gedebage
2017-01-16,4.8,9.57,8.58,5.16,10.53,0,3.94,1.46,256.33,21.7,907.89,82.1,99.86,Gedebage
2017-01-17,4.9,9.09,9.12,5.16,8.02,0,3.75,1.52,243.36,21.64,908.29,83.18,155.51,Gedebage
2017-01-18,4.58,8.65,9.72,5.3,11.5,0,4.3,1.51,204.95,22.89,909.36,75.97,184.28,Gedebage
2017-01-19,4.86,9.09,9.64,4.82,9.55,0,4.39,1.79,263,23.34,909,73.79,161.26,Gedebage
2017-01-20,4.71,9.67,11.01,5.39,9.99,0,5.02,1.88,257.12,23.48,908.58,72.59,197.36,Gedebage
2017-01-21,4.95,10.23,12.03,6.44,16.7,0,4.55,1.36,225.56,23.68,909.4,73.2,172.48,Gedebage
2017-01-22,4.89,9.73,12.24,6.83,18.15,0,6.75,1.44,187.04,23.33,909.49,76.81,150.78,Gedebage
2017-01-23,4.76,7.25,12.38,5.61,0,0,2.99,1.5,230.18,23.14,909.31,74.39,213.13,Gedebage
2017-01-24,5.11,7.87,13.9,5.56,0,0,3.22,1.72,198.58,22.88,909.22,75.37,202.69,Gedebage
2017-01-25,4.89,10.66,17.68,5.77,0,0,2.91,1.26,226.06,22.64,909.64,77.4,172.98,Gedebage
2017-01-26,4.69,10.57,18.14,6.05,0,0,4.82,1.73,230.91,22.16,909.49,71.31,148.65,Gedebage
2017-01-27,4.88,10.52,19.33,6.52,0,0,4.08,1.6,255.2,22.65,908.35,73.06,129.37,Gedebage
2017-01-28,5.01,10.53,20.92,5.64,0,0,1.89,1.54,271.86,21.99,908.06,81.58,146.53,Gedebage
2017-01-29,5.11,10.06,21.91,5.32,0,0,1.38,1.62,264.34,20.97,908.61,85.59,108.96,Gedebage
2017-01-30,5.21,8.91,21.29,5.08,0,0,1.58,1.61,256.71,22.26,908.1,77.05,181.52,Gedebage
2017-01-31,4.87,7.83,19.57,5.79,0,0,2.73,1.65,242.67,22.56,908.02,75.87,156.3,Gedebage
2017-02-01,0,15.13,16,30.97,36.77,0,15.15,3.17,264.83,22.76,936.93,83.1,165.89,Gedebage
2017-02-02,0,15.45,8.46,28.6,35.04,0,14.89,3.67,277.58,23.27,937.43,76.54,163.79,Gedebage
2017-02-03,0,15.26,5.81,23.65,27.92,0,15.04,4.66,285.04,23.63,936.23,72.18,175.93,Gedebage
2017-02-04,0,11.61,4.37,19.85,14.52,0,14.39,4.8,278.39,23.64,935,77.48,188.15,Gedebage
2017-02-05,0,12.9,3.92,19.4,21.19,0,16.16,4.69,283.81,24.7,934.46,68.65,254.62,Gedebage
2017-02-06,0,16.13,12.29,24.26,33.97,0,14.32,3.43,270.1,23.67,934.6,73.92,197.02,Gedebage
2017-02-07,0,16.32,4.68,22.85,32.54,0,15.93,4.58,281.37,23.83,934.88,70.93,206.01,Gedebage
2017-02-08,0,15.66,9.33,23,25.05,0,13.53,3.88,276.81,22.91,935.11,81.13,150,Gedebage
2017-02-09,0,14.78,9.9,23.22,0,0,13.11,3.59,281.8,21.99,935.11,85.25,117.03,Gedebage
2017-02-10,0,15.41,16.35,19.46,0,0,19.06,3.86,274.07,23.23,935.29,81.88,190.38,Gedebage
2017-02-11,0,41.89,93.08,19.81,0,0,24.56,3.59,257.47,22.58,937.16,87.28,150.92,Gedebage
2017-02-12,0,45.39,92.32,20.87,0,0,17.64,3.37,225.09,22.92,938.43,85.54,157.4,Gedebage
2017-02-13,0,53.98,118.94,21.3,0,0,16.24,2.68,218.91,23.4,938.74,83.48,220.17,Gedebage
2017-02-14,0,43.39,100.53,20.5,17.14,0,14.5,2.64,232.01,23.23,939.41,85.58,215.01,Gedebage
2017-02-15,0,44.19,97.29,18.41,30.16,0,14.35,3.24,254.04,23.6,939.12,81.77,219.85,Gedebage
2017-02-16,0,50.75,115.48,19.89,58.09,0,14.3,2.64,226.46,23.66,938.36,81.61,203.7,Gedebage
2017-02-17,0,54.03,117.84,21.5,78.26,0,14.48,2.57,233.47,24.8,938.16,77.51,271.14,Gedebage
2017-02-18,0,57.95,119.12,23.17,88.39,0,14.48,2.34,235.43,24.91,938.31,77.59,226.59,Gedebage
2017-02-19,0,58.86,119.57,22.42,79.89,0,14.28,2.4,208.01,24.58,937.11,80.25,193.41,Gedebage
2017-02-20,0,63.95,141.72,21.19,69.92,0,14.32,1.97,171.46,23.74,936.37,85.09,98.96,Gedebage
2017-02-21,0,68.28,162.75,21.85,61.2,0,14.23,1.31,172.09,23.42,938.04,85.47,111.13,Gedebage
2017-02-22,0,71.17,172.13,21.02,71.12,0,14.61,1.58,143.68,23.44,938.32,83.85,211.83,Gedebage
2017-02-23,0,71.54,175.79,20.24,65.15,0,14.58,1.94,152.93,24,937.72,82.42,218.06,Gedebage
2017-02-24,0,57.7,139.47,22.58,58.48,0,14.65,1.83,162.46,25.11,937.81,77.19,303.14,Gedebage
2017-02-25,0,50.93,110.25,21.82,36.84,0,14.38,1.92,152.05,22.86,937.52,87.72,172.57,Gedebage
2017-02-26,0,72.36,174.77,19.36,44.59,0,15.06,1.88,133.86,23.61,935.85,83.86,218.36,Gedebage
2017-02-27,0,88.04,222.01,22.9,45.06,0,15.24,1.63,167.5,23.49,936.28,84.68,183.57,Gedebage
2017-02-28,0,91.04,235.51,20.78,42.46,0,14.69,1.88,171.18,23.29,936.25,85.24,207.92,Gedebage
2017-03-01,0,106.33,271.4,25.13,42.33,0,14.92,1.63,132.79,23.08,936.55,88.07,170.16,Gedebage
2017-03-02,0,117.43,307.91,28.37,56.6,0,15.69,1.73,142.12,23.01,936.29,87.12,207.56,Gedebage
2017-03-03,0,120.32,302.07,26.87,55.22,0,14.68,1.87,165.21,23.92,935.42,81.75,263.1,Gedebage
2017-03-04,0,118.9,177.86,29.58,39.52,0,7.34,2.31,143.04,24.5,935.6,79.56,312.41,Gedebage
2017-03-05,0,97.06,50.18,33.35,49.67,0,8.18,2.07,173.54,24.54,935.78,80.6,271.22,Gedebage
2017-03-06,0,102.57,38.57,37.47,63,0,10.51,1.63,209.27,24.21,936.15,82.34,224.74,Gedebage
